CellLine,Lineage
ACH-000900,Non-Small Cell Lung Cancer
ACH-000901,Non-Small Cell Lung Cancer
ACH-000905,Bladder Urothelial Carcinoma
ACH-000906,Ovarian Epithelial Tumor
ACH-000907,Renal Cell Carcinoma
ACH-000910,Invasive Breast Carcinoma
ACH-000911,Esophagogastric Adenocarcinoma
ACH-000912,Lung Neuroendocrine Tumor
ACH-000914,Mature B-Cell Neoplasms
ACH-000915,Melanoma
ACH-000916,Non-Small Cell Lung Cancer
ACH-000917,Esophageal Squamous Cell Carcinoma
ACH-000919,Esophagogastric Adenocarcinoma
ACH-000920,Myeloproliferative Neoplasms
ACH-000921,Non-Small Cell Lung Cancer
ACH-000922,B-Cell Acute Lymphoblastic Leukemia
ACH-000924,Non-Small Cell Lung Cancer
ACH-000926,Colorectal Adenocarcinoma
ACH-000928,Endometrial Carcinoma
ACH-000929,Non-Small Cell Lung Cancer
ACH-000932,Esophagogastric Adenocarcinoma
ACH-000934,Invasive Breast Carcinoma
ACH-000935,Colorectal Adenocarcinoma
ACH-000936,Ovarian Epithelial Tumor
ACH-000937,T-Lymphoblastic Leukemia/Lymphoma
ACH-000938,B-Cell Acute Lymphoblastic Leukemia
ACH-000941,Endometrial Carcinoma
ACH-000943,Colorectal Adenocarcinoma
ACH-000944,Mature B-Cell Neoplasms
ACH-000945,Non-Small Cell Lung Cancer
ACH-000946,Endometrial Carcinoma
ACH-000947,Ovarian Epithelial Tumor
ACH-000948,Esophagogastric Adenocarcinoma
ACH-000950,Colorectal Adenocarcinoma
ACH-000953,T-Lymphoblastic Leukemia/Lymphoma
ACH-000956,Prostate Adenocarcinoma
ACH-000957,Colorectal Adenocarcinoma
ACH-000958,Colorectal Adenocarcinoma
ACH-000959,Colorectal Adenocarcinoma
ACH-000960,B-Cell Acute Lymphoblastic Leukemia
ACH-000961,Endometrial Carcinoma
ACH-000962,Ovarian Epithelial Tumor
ACH-000963,Colorectal Adenocarcinoma
ACH-000965,Endometrial Carcinoma
ACH-000966,Ovarian Epithelial Tumor
ACH-000968,Melanoma
ACH-000969,Colorectal Adenocarcinoma
ACH-000970,Colorectal Adenocarcinoma
ACH-000971,Colorectal Adenocarcinoma
ACH-000972,Endometrial Carcinoma
ACH-000974,Endometrial Carcinoma
ACH-000975,Non-Small Cell Lung Cancer
ACH-000976,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000977,Prostate Adenocarcinoma
ACH-000978,Endometrial Carcinoma
ACH-000979,Prostate Adenocarcinoma
ACH-000980,Non-Small Cell Lung Cancer
ACH-000983,Myeloproliferative Neoplasms
ACH-000984,Endometrial Carcinoma
ACH-000985,Colorectal Adenocarcinoma
ACH-000986,Colorectal Adenocarcinoma
ACH-000988,Endometrial Carcinoma
